How can my organisation apply to be a Baby Bonus Approved Institution?,"For an organisation to become a Baby Bonus Approved Institution (AI), please visit the Baby Bonus Online Approved Institutions Portal and: Select “Join Using CorpPass”. Complete all fields in capital letters. Ensure that the UEN or Unique Entity Number and Institution code are entered correctly. The applicant must be the Authorised Person (AP) to transact on behalf of your company. If the application is successful, the AP will receive an email notification to accept the Approved Person/Institution Terms and Conditions within 3 working days from the application. A Letter of Approval and Baby Bonus stickers will also be sent to your company’s address within 3 weeks. You can then apply for the Child Development Account (CDA) GIRO with the bank and/or enable the Baby Bonus NETS service on your NETS terminal. Please note that: If your organisation is a newly licensed child care centre, the AP will not be required to submit a new application to be an AI. The AP will automatically receive an invitation to accept the AI Status for each outlet. For other organisations, the AP must submit an application for each outlet.",0
"I have entered the Unique Entity Number (UEN) using 'Join as an Approved Institution (AI)' service, but your system does not have matching records of my Unique Entity Number (UEN). Can I still submit my application?","If the system does not have a record of your Unique Entity Number (UEN), you can still proceed to apply to join as an Approved Institution. Please complete all other mandatory fields in the application and MSF will verify your records.",1
"I have entered the Unique Entity Number (UEN) using the 'Join as Approved Institution (AI)' service, but your system indicated that my Unique Entity Number (UEN) is invalid, what should I do?","To join as an Approved Institution (AI), please verify your Unique Identity Number or UEN again if the system prompts that your UEN is invalid. If you are unsure, please check with the Accounting and Corporate Regulatory Authority (ACRA).",2
Is there a validity period to be a Baby Bonus Approved Institution?,"There is no validity period to be a Baby Bonus Approved Institution (AI). However, the approval granted by MSF is subject to  compliance with the Approved Institution Terms and Conditions.",3
How much does an organisation need to pay to register as an Approved Institution (AI) with Ministry of Social and Family Development (MSF)?,No payment is required to register as an Approved Institution (AI) with the Ministry of Social and Family Development (MSF).,4
Why is my Approved Institution (AI) application not approved?,"If your institution has been licensed or registered with the relevant governing body but your application for Approved Institution (AI) is not approved, please submit a new application to MSF using the correct Unique Entity Number (UEN) and Institution Code. For your reference, here are some examples: Child Care Centres PT code issued by the Early Childhood Development Agency (PT1234) Kindergarten code issued by the Early Childhood Development Agency (KG0123) Healthcare Institution (HI) code issued by the Ministry of Health (1234567) EI Registration Number for Early Intervention Programmes issued by the Ministry of Social and Family Development (EP12345) Pharmacy Certificate Number issued by the Health Sciences Authority If you are unsure of your UEN, you may wish to check your UEN with the Accounting and Corporate Regulatory Authority (ACRA). If you are unsure of your institution code, please check with the Governing body or write in to us using this form. Simply enter ‘Baby Bonus Approved Institution’ in the Subject field and key in your details.",5
Who do I contact for enquiries and feedback on Approved Institutions (AI)?,"For enquiries and feedback on Approved Institutions (AI), you may write to us using this form. Simply enter ‘Baby Bonus Approved Institution’ in the Subject field. Alternatively, you may call the Baby Bonus hotline at 1800 253 7707 or (+65) 6253 7707 if you are overseas. For enquiries on Banks' Child Development Account (CDA) Products & Baby Bonus Cards, please contact: DBS Bank at 1800 339 6666 or visit their website at www.dbs.com.sg, OCBC Bank at 1800 438 6088 or visit their website at www.ocbc.com/babybonus, UOB at 1800 222 2121 or visit their website at www.uob.com.sg. Standard Chartered Bank (Singapore) at 1800 747 7000 or visit their website: www.standardchartered.com.sg. Baby Bonus NETS Service, Sales & Customer Service Centre at 6274 1212, or visit their website at www.nets.com.sg.",6
"Where can I find the list of optical shops, which allow the use the CDA funds?","To find the list of optical shops which allow the use of Child Development Account funds, you can visit the Approved Institution Portal and select “List of Approved Institutions”.",7
How do I find out more information about Approved Institutions (AI)?,"To find more about Approved Institutions (AIs), please visit our Approved Institution Portal.",8
"If an AI makes a refund into the CDA, how long will the process take before I receive the refund?",You may want to check with the AI directly on the processes and when the refund will be completed.,9
My centre is an Approved Institution. Can I request for an additional or higher-resolution Baby Bonus Approved Institution sticker?,"If you would like to request for an additional or higher-resolution Baby Bonus Approved Institution sticker, please send us your request by using this form. Simply enter ‘Request for Baby Bonus Sticker’ in the Subject field and key in your Approved Institution details and uses for the sticker.",10
What is a Baby Bonus Approved Institution?,An Approved Institution is any approved educational or healthcare institution registered with MSF under the Baby Bonus Scheme. Parents can use funds in their child’s Child Development Account to make payment for approved uses at Baby Bonus Approved Institutions.,11
